Date,Seafood_Type,City,Weight_kg,Temperature_C,Fuel_Cost_USD,Demand_Index,Season,Market_Price_USD_per_kg
2000-05-01,Crab,Bengaluru,3.87,28.3,2.07,0.53,Low,10.69
2000-05-01,Lobster,Daman,3.45,18.2,1.89,0.33,High,12.55
2000-05-01,Lobster,Vellore,3.63,21.5,0.94,0.36,Low,10.32
2000-05-01,Catfish,Ahmedabad,1.67,25.3,1.82,0.51,High,6.06
2000-05-02,Mackerel,Chennai,3.61,27.0,2.13,0.51,High,10.53
2000-05-03,Cod,Bengaluru,9.7,22.3,2.83,0.88,Low,16.26
2000-05-04,Crab,Cuddalore,5.35,20.2,2.58,0.8,Low,18.9
2000-05-05,Crab,Daman,3.48,27.1,2.98,0.48,Low,9.83
2000-05-05,Shrimp,Visakhapatnam,4.75,19.6,2.97,0.55,Low,12.4
2000-05-05,Tilapia,Daman,0.75,20.9,1.19,0.69,High,13.85
2000-05-05,Fish,Kochi,6.65,23.4,1.94,0.43,High,9.32
2000-05-07,Mackerel,Vishakhapatnam,2.21,19.5,2.37,0.24,Low,5.54
2000-05-07,Tuna,Goa Town,7.08,22.0,1.7,0.48,Low,11.79
2000-05-09,Cod,Surat,3.08,24.7,2.53,0.81,High,15.49
2000-05-10,Cod,Cuddalore,6.73,24.9,1.19,0.23,High,6.32
2000-05-10,Crab,Cuddalore,8.98,21.6,2.24,0.32,High,10.22
2000-05-10,Shrimp,Chennai,9.08,27.3,1.13,0.38,High,10.37
2000-05-11,Crab,Kolkata,1.87,32.0,2.19,0.84,High,22.08
2000-05-11,Shrimp,Porbandar,9.22,19.5,3.0,0.87,High,21.33
2000-05-13,Crab,Panaji,5.89,30.9,1.33,0.46,Low,11.27
2000-05-13,Tuna,Goa Town,2.59,18.6,2.96,0.49,Low,11.44
2000-05-14,Lobster,Thiruvananthapuram,7.06,27.1,0.95,0.3,Low,9.03
2000-05-14,Crab,Panaji,8.66,25.6,2.29,0.56,Low,15.25
2000-05-16,Tilapia,Bengaluru,9.41,22.2,1.98,0.72,High,12.91
2000-05-16,Tilapia,Hyderabad,1.91,21.5,2.03,0.87,Low,11.39
2000-05-18,Lobster,Thiruvananthapuram,5.83,18.9,2.39,0.23,Low,9.7
2000-05-20,Tuna,Cuddalore,5.39,29.8,1.73,0.52,High,7.53
2000-05-20,Mackerel,Ahmedabad,3.84,18.0,2.64,0.72,High,13.0
2000-05-21,Shrimp,Chennai,5.78,25.3,1.96,0.5,Low,11.65
2000-05-22,Cod,Porbandar,5.77,30.4,1.34,0.35,Low,3.89
2000-05-24,Salmon,Mumbai,1.03,22.8,1.6,0.3,Low,6.01
2000-05-25,Tuna,Kochi,8.78,29.6,1.01,0.43,Low,7.8
2000-05-26,Crab,Pondicherry,6.26,26.9,1.45,0.79,High,21.24
2000-05-26,Tuna,Visakhapatnam,8.6,24.5,2.56,0.21,High,4.66
2000-05-27,Cod,Daman,2.42,20.5,2.24,0.54,High,14.2
2000-05-27,Cod,Kolkata,3.68,20.6,2.6,0.51,Low,10.47
2000-05-29,Cod,Kochi,7.04,24.6,1.01,0.38,Low,8.57
2000-05-29,Salmon,Kochi,0.83,25.0,1.93,0.56,Low,10.39
2000-05-30,Cod,Bengaluru,3.27,31.7,1.53,0.7,Low,11.52
2000-05-31,Salmon,Panaji,9.89,19.7,2.44,0.33,Low,9.5
2000-06-01,Shrimp,Hyderabad,2.65,31.0,1.8,0.48,High,11.03
2000-06-01,Cod,Pondicherry,5.15,29.9,1.43,0.45,High,10.1
2000-06-03,Tilapia,Vishakhapatnam,0.81,26.5,1.33,0.39,Low,5.1
2000-06-03,Catfish,Goa Town,4.63,23.5,1.53,0.64,High,10.86
2000-06-04,Fish,Daman,1.0,23.7,1.0,0.63,Low,8.16
2000-06-05,Salmon,Ernakulam,3.7,19.4,2.18,0.28,High,9.73
2000-06-07,Tuna,Surat,2.75,24.0,1.21,0.59,High,8.47
2000-06-07,Fish,Kochi,8.47,27.1,2.12,0.55,High,8.54
2000-06-08,Shrimp,Mumbai,9.54,29.3,1.79,0.48,High,12.29
2000-06-10,Catfish,Pondicherry,8.96,25.8,2.63,0.6,Low,7.6
2000-06-11,Tilapia,Bengaluru,3.89,28.8,2.53,0.42,Low,3.59
2000-06-11,Cod,Surat,4.26,28.6,2.63,0.41,High,7.7
2000-06-11,Lobster,Chennai,2.38,25.4,0.95,0.81,Low,22.98
2000-06-12,Mackerel,Vishakhapatnam,0.79,21.5,2.13,0.49,High,9.39
2000-06-12,Fish,Vishakhapatnam,9.53,28.5,2.45,0.39,High,4.96
2000-06-13,Catfish,Goa Town,2.44,18.6,2.85,0.32,Low,5.45
2000-06-14,Tuna,Chennai,7.96,30.5,2.36,0.4,High,7.6
2000-06-14,Fish,Chennai,5.79,23.7,1.81,0.41,High,6.69
2000-06-14,Cod,Surat,8.16,31.1,2.13,0.46,High,9.18
2000-06-14,Lobster,Thiruvananthapuram,6.5,18.9,1.91,0.29,High,13.22
2000-06-16,Salmon,Kolkata,6.28,29.4,2.97,0.87,Low,14.32
2000-06-16,Salmon,Chennai,9.84,23.5,0.97,0.85,Low,15.48
2000-06-17,Lobster,Porbandar,1.88,29.8,1.35,0.71,Low,20.71
2000-06-18,Cod,Visakhapatnam,2.92,31.9,0.99,0.88,High,15.8
2000-06-19,Salmon,Bengaluru,5.23,24.6,2.18,0.89,High,19.3
2000-06-20,Lobster,Cuddalore,2.34,27.4,2.31,0.33,High,10.61
2000-06-21,Cod,Porbandar,6.29,19.5,1.56,0.47,High,9.15
2000-06-23,Cod,Mangalore,2.62,25.9,2.32,0.22,Low,5.4
2000-06-24,Lobster,Thiruvananthapuram,0.91,31.8,0.98,0.75,High,23.2
2000-06-25,Tuna,Visakhapatnam,6.41,28.8,0.82,0.63,High,9.46
2000-06-26,Tilapia,Hyderabad,4.53,21.9,1.64,0.72,Low,10.8
2000-06-27,Crab,Kochi,6.02,28.2,2.26,0.53,High,16.66
2000-06-28,Salmon,Vellore,2.35,26.9,2.82,0.93,Low,13.61
2000-06-28,Crab,Vishakhapatnam,8.15,21.2,0.88,0.42,High,12.78
2000-06-28,Mackerel,Porbandar,0.77,27.8,1.21,0.8,Low,9.81
2000-06-29,Tuna,Daman,9.01,23.6,0.96,0.79,Low,9.11
2000-06-29,Tilapia,Pondicherry,8.83,20.6,2.99,0.91,Low,14.14
2000-06-29,Tilapia,Vishakhapatnam,2.37,23.8,2.3,0.53,Low,7.77
2000-06-30,Crab,Bengaluru,5.85,30.6,1.85,0.57,Low,10.78
2000-06-30,Mackerel,Ahmedabad,0.57,29.8,1.54,0.61,Low,5.88
2000-07-01,Catfish,Vishakhapatnam,2.14,21.7,2.46,0.69,High,8.9
2000-07-04,Catfish,Goa Town,2.73,31.4,2.9,1.0,Low,9.85
2000-07-06,Mackerel,Pondicherry,7.75,26.7,0.93,0.55,High,8.11
2000-07-06,Fish,Kochi,2.43,22.3,1.07,0.72,Low,11.05
2000-07-07,Salmon,Mumbai,5.13,19.5,1.37,0.51,Low,12.79
2000-07-10,Mackerel,Mumbai,1.71,26.8,1.89,0.75,Low,10.05
2000-07-11,Catfish,Vellore,1.63,23.0,1.0,0.43,Low,5.32
2000-07-12,Catfish,Thiruvananthapuram,4.89,28.0,2.18,0.22,Low,4.66
2000-07-15,Cod,Daman,0.54,23.1,1.42,0.39,Low,8.31
2000-07-17,Tuna,Vishakhapatnam,4.89,22.2,2.16,0.74,Low,14.68
2000-07-18,Cod,Pondicherry,3.86,19.6,2.66,0.45,High,10.64
2000-07-19,Salmon,Goa Town,6.97,24.6,1.83,0.38,High,8.4
2000-07-21,Shrimp,Ernakulam,3.67,28.6,2.26,0.69,Low,13.42
2000-07-21,Shrimp,Pondicherry,3.52,24.7,1.7,0.68,High,16.13
2000-07-23,Catfish,Ernakulam,2.19,26.7,2.47,0.21,Low,3.58
2000-07-26,Tilapia,Chennai,7.99,28.2,2.29,0.84,Low,10.37
2000-07-28,Shrimp,Thiruvananthapuram,5.51,21.4,2.21,0.37,Low,8.87
2000-07-29,Mackerel,Ahmedabad,6.65,18.9,2.18,0.8,High,13.69
2000-07-30,Cod,Thiruvananthapuram,6.07,30.7,2.57,0.31,High,4.71
2000-08-01,Cod,Vishakhapatnam,9.08,25.0,2.84,0.41,Low,5.98
2000-08-03,Fish,Bengaluru,6.67,25.5,1.18,0.23,Low,2.88
2000-08-04,Lobster,Pondicherry,9.35,21.6,1.76,0.7,High,29.99
2000-08-07,Catfish,Goa Town,3.94,30.4,1.8,0.7,Low,4.63
2000-08-07,Shrimp,Ernakulam,7.25,23.4,1.1,0.57,Low,13.05
2000-08-10,Fish,Porbandar,0.79,25.1,2.36,0.43,Low,3.45
2000-08-13,Cod,Pondicherry,3.44,31.8,1.17,0.83,High,18.88
2000-08-13,Tuna,Thiruvananthapuram,6.39,31.2,1.28,0.94,High,16.13
2000-08-16,Mackerel,Vishakhapatnam,9.53,26.2,2.47,0.69,Low,10.1
2000-08-18,Tuna,Visakhapatnam,5.46,20.2,2.04,0.66,Low,11.98
2000-08-18,Salmon,Surat,7.39,24.5,0.81,0.97,Low,14.95
2000-08-18,Crab,Porbandar,5.61,32.0,2.96,0.41,Low,6.17
2000-08-19,Tilapia,Kochi,0.97,22.9,2.23,0.8,Low,12.13
2000-08-20,Fish,Hyderabad,0.53,20.2,0.82,0.86,High,14.24
2000-08-21,Salmon,Vishakhapatnam,9.97,20.9,1.11,0.86,Low,14.26
2000-08-22,Lobster,Bengaluru,4.69,18.3,2.75,0.37,High,16.22
2000-08-22,Fish,Hyderabad,6.98,30.0,1.08,0.25,High,2.51
2000-08-22,Catfish,Vellore,8.48,18.1,1.53,0.33,High,10.3
2000-08-23,Salmon,Ernakulam,9.17,18.6,2.55,0.64,High,18.15
2000-08-26,Shrimp,Hyderabad,2.69,24.7,1.54,0.35,Low,9.02
2000-08-26,Tuna,Kochi,1.61,23.6,1.58,0.92,Low,14.63
2000-08-29,Cod,Vishakhapatnam,4.47,26.5,2.4,0.99,High,19.53
2000-08-29,Mackerel,Ernakulam,4.33,24.1,2.04,0.27,High,4.69
2000-08-31,Salmon,Hyderabad,5.35,29.2,2.76,0.57,Low,10.04
2000-08-31,Cod,Vishakhapatnam,6.84,27.5,0.82,0.96,High,18.36
2000-08-31,Tuna,Porbandar,4.57,28.6,1.36,0.57,Low,6.74
2000-09-04,Salmon,Goa Town,4.42,18.4,2.59,0.78,High,22.95
2000-09-06,Lobster,Surat,9.51,23.2,1.46,0.56,Low,16.88
2000-09-06,Mackerel,Daman,1.72,22.6,2.72,0.55,Low,7.54
2000-09-06,Shrimp,Ernakulam,8.96,25.5,2.18,0.85,Low,16.27
2000-09-07,Lobster,Vellore,5.61,31.7,2.86,0.6,Low,14.81
2000-09-09,Catfish,Vishakhapatnam,5.52,26.7,1.48,0.27,High,1.93
2000-09-10,Salmon,Ahmedabad,8.26,21.2,2.58,0.57,Low,12.89
2000-09-11,Tuna,Chennai,9.49,31.1,1.48,0.51,High,9.61
2000-09-12,Catfish,Goa Town,9.96,30.8,1.88,0.89,High,9.51
2000-09-12,Shrimp,Daman,8.05,27.7,1.9,0.62,High,15.61
2000-09-12,Catfish,Thiruvananthapuram,3.64,18.6,2.13,0.96,High,12.45
2000-09-14,Tilapia,Chennai,6.0,20.8,2.31,0.35,High,9.4
2000-09-14,Mackerel,Visakhapatnam,8.58,22.4,2.25,0.4,High,7.63
2000-09-15,Cod,Daman,9.84,19.3,1.33,0.4,High,10.22
2000-09-16,Crab,Cuddalore,9.67,27.5,2.1,0.85,Low,18.86
2000-09-17,Shrimp,Mangalore,6.2,29.0,1.39,0.45,High,10.46
2000-09-17,Mackerel,Chennai,3.93,30.9,1.25,0.41,High,5.4
2000-09-18,Salmon,Thiruvananthapuram,2.21,32.0,1.49,0.91,Low,13.58
2000-09-18,Fish,Vellore,8.11,29.3,1.42,0.86,Low,9.3
2000-09-19,Shrimp,Pondicherry,1.27,20.2,2.74,0.25,Low,7.37
2000-09-19,Tuna,Mumbai,6.15,20.9,1.82,0.44,Low,8.65
2000-09-23,Shrimp,Panaji,7.62,28.4,2.57,0.39,Low,8.24
2000-09-26,Crab,Hyderabad,5.06,23.4,2.86,0.51,High,14.78
2000-09-27,Tilapia,Vellore,4.74,20.6,1.29,0.87,High,13.17
2000-09-27,Tilapia,Kochi,5.22,23.0,1.32,0.88,High,15.81
2000-10-01,Lobster,Kochi,1.81,25.2,1.55,0.79,Low,24.23
2000-10-04,Fish,Pondicherry,7.51,21.9,1.25,0.68,High,9.3
2000-10-04,Lobster,Kolkata,3.66,31.9,2.85,0.93,High,31.85
2000-10-05,Fish,Kolkata,1.27,22.6,1.33,0.8,High,11.28
2000-10-06,Salmon,Vishakhapatnam,6.14,30.2,1.46,0.89,High,17.79
2000-10-06,Cod,Kochi,3.2,20.7,1.13,0.44,High,10.18
2000-10-08,Salmon,Mangalore,6.24,21.9,2.78,0.28,High,7.0
2000-10-08,Catfish,Porbandar,2.63,18.3,2.42,0.72,High,11.72
2000-10-09,Fish,Kochi,1.55,18.2,2.34,0.36,High,8.09
2000-10-10,Tilapia,Bengaluru,5.66,27.6,2.24,0.98,High,15.33
2000-10-11,Tuna,Thiruvananthapuram,5.78,27.5,1.45,0.45,Low,7.85
2000-10-11,Tuna,Mumbai,3.13,30.8,2.99,0.97,Low,13.0
2000-10-11,Catfish,Thiruvananthapuram,2.62,29.4,1.9,0.51,High,4.88
2000-10-13,Crab,Goa Town,2.45,23.8,0.92,0.8,Low,16.7
2000-10-13,Tilapia,Mumbai,9.99,18.9,2.15,0.99,Low,14.21
2000-10-13,Salmon,Cuddalore,0.57,28.2,2.56,0.38,Low,7.08
2000-10-14,Shrimp,Goa Town,7.81,27.7,1.6,0.72,High,18.05
2000-10-15,Shrimp,Hyderabad,0.82,18.8,1.86,0.94,High,23.09
2000-10-16,Tilapia,Vellore,8.3,24.3,2.68,0.87,Low,10.26
2000-10-16,Crab,Vishakhapatnam,6.53,22.6,1.58,0.37,Low,10.13
2000-10-17,Tilapia,Mumbai,9.74,29.2,1.2,0.59,High,8.63
2000-10-18,Crab,Goa Town,2.38,21.3,2.44,0.67,High,19.13
2000-10-18,Lobster,Kolkata,8.38,19.8,1.16,0.42,Low,12.48
2000-10-19,Lobster,Ahmedabad,5.84,29.9,1.92,0.85,Low,20.44
2000-10-20,Tuna,Chennai,2.31,29.7,2.31,0.32,Low,3.44
2000-10-20,Tuna,Vishakhapatnam,7.18,19.0,2.5,0.5,Low,7.18
2000-10-20,Tuna,Ernakulam,2.34,18.8,1.71,0.55,High,13.04
2000-10-22,Lobster,Surat,5.85,27.0,2.63,0.35,Low,10.55
2000-10-23,Cod,Mangalore,0.6,20.9,1.49,0.3,High,8.81
2000-10-23,Shrimp,Kochi,6.6,24.4,2.27,0.56,High,13.47
2000-10-24,Salmon,Vellore,5.3,21.8,2.87,0.3,Low,7.36
2000-10-24,Fish,Surat,4.61,27.6,2.8,0.61,Low,6.62
2000-10-24,Tuna,Porbandar,7.57,19.8,2.23,0.79,Low,12.88
2000-10-26,Cod,Kochi,5.84,28.2,2.64,0.23,High,7.11
2000-10-26,Cod,Hyderabad,4.3,21.3,1.85,0.84,Low,12.94
2000-10-27,Shrimp,Surat,2.4,18.9,1.74,0.61,Low,14.32
2000-10-27,Salmon,Thiruvananthapuram,6.22,18.9,1.59,0.58,High,14.93
2000-10-27,Tilapia,Mumbai,2.19,30.0,2.81,0.61,High,9.54
2000-10-29,Fish,Mangalore,5.23,25.6,1.0,0.38,Low,5.02
2000-11-01,Salmon,Porbandar,1.94,24.8,1.94,0.32,Low,6.53
2000-11-03,Fish,Panaji,5.64,27.1,2.38,0.22,Low,4.61
2000-11-04,Catfish,Vellore,2.19,20.7,2.49,0.79,Low,9.75
2000-11-05,Fish,Cuddalore,9.94,27.9,1.29,0.68,Low,7.07
2000-11-05,Mackerel,Porbandar,2.99,18.9,1.96,0.21,Low,6.9
2000-11-06,Crab,Panaji,7.2,28.8,2.42,0.52,Low,14.79
2000-11-06,Tuna,Vishakhapatnam,3.45,23.9,2.83,0.34,Low,5.26
2000-11-06,Tuna,Surat,4.74,24.2,1.37,0.32,Low,5.95
2000-11-07,Mackerel,Thiruvananthapuram,4.53,19.3,1.52,0.46,High,10.71
2000-11-07,Tuna,Chennai,6.05,31.4,1.63,0.91,Low,12.53
2000-11-07,Salmon,Cuddalore,3.45,19.2,1.43,0.76,Low,14.38
2000-11-08,Cod,Porbandar,9.3,23.0,2.65,0.34,High,6.23
2000-11-08,Catfish,Pondicherry,1.11,31.2,2.27,0.42,High,3.3
2000-11-08,Salmon,Mangalore,9.22,21.0,1.4,0.49,High,12.12
2000-11-08,Shrimp,Mangalore,8.27,22.8,1.87,0.55,High,12.47
2000-11-12,Tilapia,Bengaluru,2.91,21.5,2.6,0.68,High,14.56
2000-11-12,Cod,Ernakulam,5.02,30.3,2.52,0.51,Low,9.55
2000-11-13,Catfish,Thiruvananthapuram,4.07,18.6,2.2,0.3,High,6.65
2000-11-14,Salmon,Ernakulam,9.08,29.2,2.62,0.43,Low,10.35
2000-11-14,Crab,Cuddalore,2.7,26.2,0.97,0.63,Low,10.83
2000-11-15,Shrimp,Kochi,2.85,23.9,1.01,0.53,Low,11.23
2000-11-16,Shrimp,Vishakhapatnam,0.59,29.5,2.79,0.31,High,9.65
2000-11-18,Lobster,Goa Town,7.05,30.0,0.81,0.55,Low,17.37
2000-11-18,Tuna,Bengaluru,4.23,29.5,2.93,0.8,Low,12.06
2000-11-18,Shrimp,Kolkata,7.39,23.5,2.63,0.23,Low,5.03
2000-11-18,Salmon,Vellore,6.14,23.3,1.4,0.92,High,18.96
2000-11-20,Mackerel,Hyderabad,9.91,22.7,2.76,0.55,High,10.1
2000-11-20,Tilapia,Ernakulam,8.0,27.7,2.1,0.48,High,6.17
2000-11-20,Shrimp,Ernakulam,1.66,27.1,0.91,0.31,High,5.93
2000-11-20,Tuna,Vishakhapatnam,9.56,21.7,1.75,0.87,Low,12.52
